거래처,항목코드,중앙값,최빈값,최소,최대,건수,고유단가수,단가범위,표준단가,표준대비(%)
미술과비평 주식회사,703002,6500.0,6500.0,6500.0,6500.0,11,1,"6,500(고정)",7000.0,-7.1
미술과비평 주식회사,706001,250000.0,250000.0,250000.0,250000.0,3,1,"250,000(고정)",,
반달서재,001006,130000.0,130000.0,100000.0,130000.0,10,2,"100,000~130,000",,
반달서재,002,50000.0,50000.0,50000.0,50000.0,10,1,"50,000(고정)",,
반달서재,006,30000.0,30000.0,30000.0,30000.0,2,1,"30,000(고정)",,
반달서재,303001,6000.0,6000.0,6000.0,6000.0,12,1,"6,000(고정)",2500.0,140.0
반달서재,303002,4000.0,4000.0,4000.0,4000.0,10,1,"4,000(고정)",2500.0,60.0
반달서재,703002,6500.0,6500.0,6500.0,7000.0,22,2,"6,500~7,000",7000.0,-7.1
반달서재,706002,50.0,50.0,50.0,50.0,10,1,50(고정),,
반달서재,706003,150000.0,150000.0,150000.0,150000.0,2,1,"150,000(고정)",,
반달서재,706010,90.0,100.0,70.0,100.0,10,4,70~100,,
반달서재,707001,32000.0,32000.0,30000.0,63000.0,11,5,"30,000~63,000",,
반달서재,707009,10000.0,10000.0,100.0,50000.0,11,4,"100~50,000",,
반달서재,707011,50000.0,50000.0,50000.0,50000.0,1,1,"50,000(고정)",,
반달서재,MA00336,54600.0,54600.0,54600.0,54600.0,2,1,"54,600(고정)",,
반달서재,MA00561,77490.0,77490.0,77490.0,79620.0,10,2,"77,490~79,620",,
반달서재,MA00780,113490.0,113490.0,113490.0,116600.0,10,2,"113,490~116,600",,
반달서재,MA01072,208710.0,208710.0,208710.0,208710.0,5,1,"208,710(고정)",,
반달서재,MA01083,208710.0,208710.0,208710.0,208710.0,2,1,"208,710(고정)",,
반달서재,MA01095,208710.0,208710.0,208710.0,208710.0,1,1,"208,710(고정)",,
반달서재,MA01313,208710.0,208710.0,208710.0,208710.0,1,1,"208,710(고정)",,
반달서재,MA02427,208710.0,208710.0,208710.0,208710.0,1,1,"208,710(고정)",,
밝은미래,001006,90000.0,90000.0,90000.0,90000.0,1,1,"90,000(고정)",,
밝은미래,0303001,5000.0,5000.0,3000.0,5000.0,7,3,"3,000~5,000",,
밝은미래,0303002,3250.0,3500.0,2500.0,3500.0,4,3,"2,500~3,500",,
밝은미래,0703002,6500.0,6500.0,6000.0,6500.0,5,2,"6,000~6,500",,
밝은미래,0703003,6000.0,6000.0,6000.0,6000.0,5,1,"6,000(고정)",,
